City,N,racist_%,Mean_racist,harmful generalization_%,Mean_harmful generalization,deserving/undeserving_%,Mean_deserving/undeserving,langfair_bias_score_mean,langfair_bias_score_%,langfair_toxicity_mean,langfair_toxicity_%,langfair_stereotype_mean,langfair_stereotype_%,City_Normalized
south bend,635,0.0,0.0,0.0,0.0,0.0,0.0,0.024256503501243334,0.31496062992125984,0.03826969615862096,2.9921259842519685,0.010243310843865703,0.6299212598425197,southbend
rockford,477,0.0,0.0,0.0,0.0,0.0,0.0,0.043073802528285667,0.628930817610063,0.05038538793426747,4.40251572327044,0.03576221712230387,4.612159329140461,rockford
kalamazoo,1928,0.0,0.0,0.0,0.0,0.0,0.0,0.07829991690531306,1.3485477178423237,0.1366529882763183,13.226141078838175,0.01994684553430783,1.7634854771784232,kalamazoo
scranton,803,0.0,0.0,0.0,0.0,0.0,0.0,0.020371846112810888,0.24906600249066002,0.027612541952639572,2.2415940224159403,0.013131150272982207,1.4943960149439601,scranton
fayetteville,1254,0.0,0.0,0.0,0.0,0.0,0.0,0.010124829718955897,0.0,0.010409838965854628,0.6379585326953748,0.009839820472057167,0.7974481658692184,fayetteville
san francisco,18465,0.0,0.0,0.0,0.0,0.0,0.0,0.0678813570269178,1.2022745735174656,0.116085509860779,10.679664229623612,0.019677204193056613,1.7005144868670459,sanfrancisco
portland,23406,0.0,0.0,0.0,0.0,0.0,0.0,0.06271113773412391,1.029650516961463,0.10556404116339044,9.920533196616251,0.019858234304857388,1.7986840980945058,portland
buffalo,1020,0.0,0.0,0.0,0.0,0.0,0.0,0.043210066285503085,0.39215686274509803,0.07182190596532903,6.764705882352941,0.014598226605677138,1.5686274509803921,buffalo
baltimore,1593,0.0,0.0,0.0,0.0,0.0,0.0,0.05057020981407706,0.8788449466415568,0.0807605428108412,6.905210295040804,0.020379876817312917,1.94601381042059,baltimore
el paso,506,0.0,0.0,0.0,0.0,0.0,0.0,0.016307218227400434,0.1976284584980237,0.022375272400642694,1.5810276679841897,0.010239164054158176,0.7905138339920948,elpaso
