City,City_Size,County,N,RFI,Population,GINI,RPP,RPA,Homelessness,racist_%,Mean_racist,harmful generalization_%,Mean_harmful generalization,deserving/undeserving_%,Mean_deserving/undeserving,langfair_bias_score_%,langfair_toxicity_%,langfair_stereotype_%
south bend,Small,"St. Joseph County, Indiana",635,0.517454247,272388,0.4718,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3149606299212598,2.9921259842519685,0.6299212598425197
rockford,Small,"Winnebago County, Illinois",477,0.569333598,284591,0.4517,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.628930817610063,4.40251572327044,4.612159329140461
kalamazoo,Small,"Kalamazoo County, Michigan",1928,0.433104746,261426,0.4609,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.3485477178423235,13.226141078838175,1.7634854771784232
scranton,Small,"Lackawanna County, Pennsylvania",803,0.375783264,215672,0.4559,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.24906600249066,2.2415940224159403,1.49439601494396
fayetteville,Small,"Washington County, Arkansas",1254,0.600211809,247331,0.483,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6379585326953748,0.7974481658692184
san francisco,Large,"San Francisco County, California",18465,0.746367308,851036,0.5172,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.2022745735174656,10.679664229623612,1.700514486867046
portland,Large,"Multnomah County, Oregon",23406,0.556926978,808098,0.4729,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.029650516961463,9.920533196616253,1.7986840980945058
buffalo,Large,"Erie County, New York",1020,0.471786182,951232,0.4633,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.392156862745098,6.764705882352941,1.568627450980392
baltimore,Large,"Baltimore County, Maryland",1593,0.632878356,850737,0.4559,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.8788449466415568,6.905210295040804,1.94601381042059
el paso,Large,"El Paso County, Texas",506,0.68697089,863832,0.4663,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1976284584980237,1.5810276679841897,0.7905138339920948
