Category,Large,Small,Difference
government critique,28.986198467821268,20.64939802991609,8.336800437905179
societal critique,73.97084687155335,67.31120029186428,6.659646579689067
provide an observation,36.62324499955287,43.19591390003648,-6.572668900483613
provide a fact or claim,69.41008137836468,63.261583363735866,6.148498014628814
harmful generalization,28.559930843294485,23.896388179496533,4.663542663797951
express their opinion,84.63946105463977,80.3356439255746,4.303817129065166
money aid allocation,22.425254121083853,18.679314118934695,3.7459400021491582
solutions/interventions,25.942707246549617,29.040496169281283,-3.0977889227316666
personal interaction,14.269532297970011,17.219992703392922,-2.950460405422911
media portrayal,7.109428562911736,4.669828529733674,2.4396000331780625
express others opinions,16.27865382895639,15.103976650857351,1.1746771780990386
deserving/undeserving,33.14752436879601,32.03210507114192,1.1154192976540926
ask a rhetorical question,10.731212925149789,9.777453484129879,0.9537594410199102
not in my backyard,9.41663934181894,8.93834367019336,0.4782956716255793
ask a genuine question,12.421378960860881,12.805545421379058,-0.38416646051817693
racist,0.15798730139803857,0.18241517694272164,-0.024427875544683064
