Category,Importance_Score,SE_Importance,Mean_Score,SE_Mean_Score,Prevalence,SE_Prevalence,P_Value,P_Value_Corrected,Significant
express their opinion,1079.0481701940034,23.488308938435964,12.79791476009936,0.24960283312323492,84.31437389770723,0.19090628327778808,2.4054638554713432e-09,3.848742168754149e-08,True
societal critique,950.0551146384479,23.277527254731552,12.931582895723931,0.27604468787801584,73.46781305114638,0.2317680485146556,0.8211333330768035,1.0,False
provide a fact or claim,909.1710758377426,21.959029627210093,13.186778048683001,0.272039179413143,68.9456569664903,0.24290313146401424,2.6960033914857704e-28,4.3136054263772326e-27,True
provide an observation,547.4867724867725,18.871223405015627,14.749220489977729,0.4076156186978254,37.11970899470899,0.2536168104474335,2.9959416396573742e-61,4.793506623451799e-60,True
deserving/undeserving,492.0386904761905,18.614771912794687,14.881730288381396,0.45184896382223483,33.06327160493827,0.24695830567494698,1.1342183904470842e-30,1.8147494247153348e-29,True
harmful generalization,439.6026234567902,17.68267505843654,15.58450566627589,0.49635772194539013,28.20767195767196,0.23623330396102216,2.7374861185841928e-37,4.3799777897347084e-36,True
government critique,384.9289021164021,15.639473715263398,13.57463556851312,0.43826238142660173,28.35648148148148,0.23661000666272783,0.003074055525645386,0.04918488841032618,True
solutions/interventions,344.2515432098765,14.672912423271326,13.151068533529845,0.4445972290629023,26.176697530864196,0.23076643751751613,0.00037045999157800163,0.005927359865248026,True
money aid allocation,288.7703924162258,12.82767416839684,13.041568139390169,0.4509516129084078,22.142305996472665,0.21796194563370214,0.0004778293305008336,0.007645269288013338,True
personal interaction,233.40222663139332,13.482705008276545,16.105153070926033,0.7249698189474132,14.49239417989418,0.18479530187992113,4.353017766045519e-25,6.964828425672831e-24,True
express others opinions,223.1536596119929,13.260034688395436,13.783489361702127,0.6544021552444356,16.18992504409171,0.19336996433585363,0.8932182097475473,1.0,False
not in my backyard,167.43827160493828,11.377891164394768,17.849588719153935,0.9216932035314854,9.380511463844798,0.15305324652036711,5.218197909401727e-19,8.349116655042763e-18,True
ask a genuine question,113.54993386243387,8.377241218708814,9.120185922974768,0.5458920369158773,12.450396825396826,0.1733154070138075,5.512954372799469e-12,8.820726996479151e-11,True
ask a rhetorical question,89.0652557319224,6.708455498488176,8.355739400206826,0.5023708037925058,10.659171075837742,0.16199633479764047,2.5955642142785355e-35,4.152902742845657e-34,True
media portrayal,78.45017636684304,6.500132732859668,11.328292877039395,0.7206124073585526,6.925154320987654,0.13327520948397717,0.14919420463400507,1.0,False
racist,0.884589947089947,0.2798656944477228,5.5344827586206895,1.0248619983653966,0.15983245149911815,0.02097025031289839,0.25630309859414635,1.0,False
