Category,south bend,rockford,kalamazoo,scranton,fayetteville,san francisco,portland,buffalo,baltimore,el paso
Ask A Genuine Question,10.236220472440944,9.433962264150944,13.824419778002019,15.940224159402241,9.728867623604465,11.305947935270877,11.25064069707842,7.639569049951028,11.424984306340239,10.453648915187376
Ask A Rhetorical Question,3.1496062992125986,6.7085953878406706,10.898082744702322,7.7210460772104605,2.7910685805422646,10.748498132813769,9.076541944302067,6.660137120470128,5.963590709353421,3.353057199211045
Provide A Fact Or Claim,78.11023622047244,81.13207547169812,69.62663975782037,77.5840597758406,84.05103668261563,74.55214591113275,73.76986160943105,74.2409402546523,70.6842435655995,81.06508875739645
Provide An Observation,34.173228346456696,36.058700209643604,44.399596367305755,32.87671232876713,25.119617224880383,37.046057260377765,32.5901247223646,35.6513222331048,47.7715003138732,30.17751479289941
Express Their Opinion,74.33070866141732,72.11740041928721,87.18466195761857,68.49315068493149,82.93460925039872,83.34686366834441,84.75140953357253,73.2615083251714,76.71060891399874,68.83629191321499
Express Others Opinions,19.37007874015748,18.238993710691823,15.590312815338043,18.555417185554173,23.444976076555022,17.34588948422363,18.54177344951307,16.55239960822723,13.245448838669178,16.568047337278106
Money Aid Allocation,18.4251968503937,22.431865828092242,20.988900100908175,14.819427148194272,26.156299840510368,24.500730638090598,23.02665299846233,17.8256611165524,18.455743879472692,20.71005917159763
Government Critique,19.68503937007874,17.40041928721174,23.46115035317861,24.03486924034869,21.13237639553429,32.02359690425935,30.14693319665129,17.62977473065622,19.209039548022602,20.118343195266274
Societal Critique,30.236220472440944,42.76729559748428,74.52068617558022,27.770859277708592,30.063795853269536,71.14250148833685,61.18657098923629,42.115572967678744,57.94099183929691,28.402366863905325
Solutions/Interventions,60.15748031496063,43.81551362683438,32.13925327951564,43.08841843088418,61.08452950558214,26.6114628998214,37.395352810524514,44.95592556317336,39.23414940364093,49.506903353057204
Personal Interaction,9.133858267716535,12.9979035639413,18.012108980827445,15.068493150684931,10.76555023923445,14.342155111760567,12.245856825559542,14.593535749265426,19.522912743251727,13.017751479289942
Media Portrayal,5.511811023622047,4.40251572327044,5.49949545913219,4.2341220423412205,2.472089314194577,8.459165448936515,6.304459251665812,4.799216454456415,8.725674827369742,3.353057199211045
Not In My Backyard,10.393700787401574,3.7735849056603774,8.476286579212916,6.973848069738481,7.735247208931419,9.444173837744222,8.32479070562105,5.484818805093046,6.654111738857502,5.719921104536489
Harmful Generalization,9.291338582677165,16.142557651991613,27.043390514631685,9.464508094645081,4.226475279106858,30.058992260648374,22.9326840936272,14.691478942213518,23.289391086001256,11.439842209072978
Deserving/Undeserving,17.322834645669293,21.80293501048218,35.62058526740666,13.325031133250311,13.79585326953748,30.22676841478595,26.930633862976258,21.939275220372185,27.87193973634652,17.94871794871795
Racist,0.0,0.0,0.2522704339051463,0.0,0.0,0.18942469015532826,0.10251153254741159,0.0979431929480901,0.18832391713747645,0.19723865877712035
