City,City_Size,County,Mean_Sentiment,Positive_%,Neutral_%,Negative_%,RFI,Population,GINI,RPP,RPA,Homelessness
south bend,Small,"St. Joseph County, Indiana",0.3323182337266844,62.352493338408834,8.526836695850779,29.120669965740387,0.517454247,272388,0.4718,,,
rockford,Small,"Winnebago County, Illinois",0.2606205250596659,59.236276849642,7.5894988066825775,33.17422434367542,0.569333598,284591,0.4517,,,
kalamazoo,Small,"Kalamazoo County, Michigan",0.0573206373149806,49.22221174695955,7.287640237578957,43.490148015461486,0.433104746,261426,0.4609,,,
scranton,Small,"Lackawanna County, Pennsylvania",0.0582731889869019,46.377973803795776,13.071371291098638,40.55065490510559,0.375783264,215672,0.4559,,,
fayetteville,Small,"Washington County, Arkansas",0.3661807580174927,64.41205053449951,7.793974732750243,27.793974732750243,0.600211809,247331,0.483,,,
san francisco,Large,"San Francisco County, California",-0.0161221323684793,10.337905050536287,77.71197666207948,11.950118287384225,0.746367308,851036,0.5172,,,
portland,Large,"Multnomah County, Oregon",0.1612180214370673,53.94055648371594,8.240689176274845,37.818754340009214,0.556926978,808098,0.4729,,,
buffalo,Large,"Erie County, New York",0.320330426801285,60.99128040385497,10.05048187241854,28.958237723726484,0.471786182,951232,0.4633,,,
baltimore,Large,"Baltimore County, Maryland",0.3509153525466739,63.476527098060544,8.138481058546311,28.38499184339315,0.632878356,850737,0.4559,,,
el paso,Large,"El Paso County, Texas",0.3157894736842105,60.78431372549019,10.01031991744066,29.205366357069146,0.68697089,863832,0.4663,,,
