Category,City_Size,N,Positive_%,Negative_%,Mean_Sentiment
Comment_ask a genuine question,Large,5911,46.269666723058705,35.12096092031805,0.11148705802740654
Comment_ask a genuine question,Small,711,52.742616033755276,34.88045007032349,0.17862165963431786
Comment_ask a rhetorical question,Large,4682,41.28577530969671,49.231097821443825,-0.07945322511747116
Comment_ask a rhetorical question,Small,405,41.23456790123457,49.382716049382715,-0.08148148148148149
Comment_provide a fact or claim,Large,159054,12.490726419958003,10.256893885095627,0.022338325348623737
Comment_provide a fact or claim,Small,4359,54.27850424409269,35.191557696719435,0.1908694654737325
Comment_provide an observation,Large,27636,30.134607034303084,29.20466058763931,0.009299464466637718
Comment_provide an observation,Small,2022,52.967359050445104,38.77349159248269,0.14193867457962414
Comment_express their opinion,Large,60918,40.672707574116025,30.42614662332972,0.10246560950786303
Comment_express their opinion,Small,4474,54.559678140366564,37.125614662494414,0.1743406347787215
Comment_express others opinions,Large,59721,7.98044239044892,7.347499204634886,0.006329431858140353
Comment_express others opinions,Small,978,60.02044989775052,33.23108384458078,0.26789366053169733
Critique_money aid allocation,Large,14836,64.82205446211917,27.386087894311135,0.3743596656780803
Critique_money aid allocation,Small,1218,63.13628899835796,30.049261083743843,0.3308702791461412
Critique_government critique,Large,19026,53.489961105855144,38.725953957742036,0.1476400714811311
Critique_government critique,Small,1206,49.4195688225539,44.36152570480928,0.0505804311774461
Critique_societal critique,Large,132809,9.89315483137438,12.469034478085069,-0.0257587964671069
Critique_societal critique,Small,2683,47.40961610137905,46.105106224375696,0.013045098770033545
Response_solutions/interventions,Large,22945,69.14360427108302,23.13793854870342,0.460056657223796
Response_solutions/interventions,Small,2590,66.48648648648648,24.594594594594597,0.4189189189189189
Perception_personal interaction,Large,6782,45.664995576526096,45.54703627248599,0.0011795930404010617
Perception_personal interaction,Small,774,51.162790697674424,36.95090439276486,0.1421188630490956
Perception_media portrayal,Large,4921,54.88721804511278,39.60577118471855,0.1528144686039423
Perception_media portrayal,Small,235,63.829787234042556,27.659574468085108,0.3617021276595745
Perception_not in my backyard,Large,4111,44.10119192410606,47.77426416930187,-0.03673072245195816
Perception_not in my backyard,Small,411,50.85158150851582,41.605839416058394,0.09245742092457421
Perception_harmful generalization,Large,13041,34.5679012345679,55.225826240318995,-0.20657925005751093
Perception_harmful generalization,Small,831,43.20096269554753,47.292418772563174,-0.04091456077015644
Perception_deserving/undeserving,Large,14360,42.23537604456825,49.51949860724234,-0.07284122562674095
Perception_deserving/undeserving,Small,1311,50.72463768115942,44.01220442410374,0.06712433257055683
Racist_Flag,Large,64,35.9375,53.125,-0.171875
Racist_Flag,Small,7,57.14285714285714,14.285714285714285,0.42857142857142855
