City,N,Positive_%,Neutral_%,Negative_%,Mean_Sentiment
fayetteville,5145,64.41205053449951,7.793974732750243,27.793974732750243,0.3661807580174927
baltimore,11034,63.476527098060544,8.138481058546311,28.38499184339315,0.35091535254667394
south bend,2627,62.352493338408834,8.526836695850779,29.120669965740387,0.33231823372668445
buffalo,4358,60.99128040385497,10.05048187241854,28.958237723726484,0.320330426801285
el paso,1938,60.78431372549019,10.010319917440661,29.205366357069146,0.3157894736842105
rockford,2095,59.236276849642,7.5894988066825775,33.17422434367542,0.2606205250596659
portland,145449,53.94055648371594,8.240689176274845,37.818754340009214,0.1612180214370673
scranton,3741,46.377973803795776,13.071371291098638,40.55065490510559,0.0582731889869019
kalamazoo,10607,49.22221174695955,7.287640237578957,43.490148015461486,0.057320637314980674
san francisco,388038,10.337905050536287,77.71197666207948,11.950118287384225,-0.016122132368479376
