Sentiment_Variable,Census_Variable,Correlation,P_Value,N,City_Size
Mean_Sentiment,RFI,0.14253576858997896,0.6944607682968812,10,All
Mean_Sentiment,Population,0.09181470643152505,0.8008398917706625,10,All
Mean_Sentiment,GINI,-0.3691244731189219,0.2938564963516512,10,All
Positive_%,RFI,-0.3048682051349647,0.3917053044708809,10,All
Positive_%,Population,-0.17400989544568274,0.6306712357146143,10,All
Positive_%,GINI,-0.7393678910592747,0.014534057847202717,10,All
Negative_%,RFI,-0.7980164322839306,0.0056611335092213305,10,All
Negative_%,Population,-0.4725652307339177,0.16782808041001365,10,All
Negative_%,GINI,-0.7680515340241432,0.009467914872245586,10,All
Mean_Sentiment,RFI,0.9063537989913146,0.03391350239770174,5,Small
Mean_Sentiment,Population,0.4685150765675642,0.426073628369105,5,Small
Mean_Sentiment,GINI,0.6605812719645288,0.22489815031322496,5,Small
Positive_%,RFI,0.9375122618303902,0.018574320928975534,5,Small
Positive_%,Population,0.554935495901989,0.33159215323555546,5,Small
Positive_%,GINI,0.6530421202312191,0.2321363779353725,5,Small
Negative_%,RFI,-0.8503955240967089,0.06788231468225801,5,Small
Negative_%,Population,-0.35794927490913414,0.5541734889465292,5,Small
Negative_%,GINI,-0.6549177499351599,0.23032973309033827,5,Small
Mean_Sentiment,RFI,-0.4931975044153728,0.39851994932340123,5,Large
Mean_Sentiment,Population,0.4096956738145774,0.49334364479900267,5,Large
Mean_Sentiment,GINI,-0.9560907674405101,0.010972013897254008,5,Large
Positive_%,RFI,-0.6200475848887691,0.2645319611555898,5,Large
Positive_%,Population,0.22750326084371458,0.7128523629242806,5,Large
Positive_%,GINI,-0.9926920198174592,0.0007491232117944328,5,Large
Negative_%,RFI,-0.6670880399834587,0.21870224823235412,5,Large
Negative_%,Population,-0.13079901391235038,0.8339376165293035,5,Large
Negative_%,GINI,-0.7946508544269142,0.10819862359336088,5,Large
