,consensus_fp,n,any_fp,n,true_negative,n,gold_nimby_positive,n
affordable_housing,0.1111111111111111,117,0.19230769230769232,988,0.16815476190476192,672,0.11904761904761904,42
housing_general,0.8974358974358975,117,0.805668016194332,988,0.7217261904761905,672,0.9285714285714286,42
proximity_local,0.09401709401709402,117,0.09109311740890688,988,0.03869047619047619,672,0.21428571428571427,42
explicit_nimby,0.02564102564102564,117,0.003036437246963563,988,0.0,672,0.09523809523809523,42
opposition_verbs,0.08547008547008547,117,0.08299595141700405,988,0.04017857142857143,672,0.16666666666666666,42
rhetorical_cue,0.06837606837606838,117,0.013157894736842105,988,0.001488095238095238,672,0.047619047619047616,42
question_mark,0.3247863247863248,117,0.1882591093117409,988,0.09672619047619048,672,0.30952380952380953,42
policy_numbers,0.042735042735042736,117,0.08097165991902834,988,0.05505952380952381,672,0.023809523809523808,42
development,0.10256410256410256,117,0.13157894736842105,988,0.07589285714285714,672,0.11904761904761904,42
shelter_siting,0.042735042735042736,117,0.05060728744939271,988,0.05803571428571429,672,0.023809523809523808,42
