Category,Large,Small,Difference
solutions/interventions,19.93444576877235,51.46443514644351,-31.529989377671164
express their opinion,83.253873659118,59.83263598326359,23.421237675854407
harmful generalization,40.88200238379023,17.573221757322173,23.308780626468057
societal critique,49.404052443384984,26.359832635983267,23.044219807401717
government critique,33.61144219308701,21.75732217573222,11.854120017354788
provide a fact or claim,64.57091775923719,74.47698744769873,-9.906069688461542
express others opinions,12.485101311084625,5.857740585774058,6.627360725310567
ask a rhetorical question,11.829558998808105,6.694560669456067,5.1349983293520385
provide an observation,41.269368295589985,37.65690376569037,3.6124645298996114
money aid allocation,17.073897497020262,14.644351464435147,2.4295460325851153
deserving/undeserving,18.176400476758044,16.317991631799163,1.8584088449588805
media portrayal,9.773539928486292,8.368200836820083,1.4053390916662085
not in my backyard,7.389749702026221,6.2761506276150625,1.1135990744111588
personal interaction,19.87485101311085,18.828451882845187,1.0463991302656623
ask a genuine question,6.2276519666269365,5.439330543933055,0.7883214226938815
racist,0.17878426698450536,0.0,0.17878426698450536
