Category,Q1 (Lowest),Q2,Q3,Q4 (Highest)
express their opinion,81.65316950572465,91.66666666666666,100.0,100.0
harmful generalization,39.26277576096063,50.0,100.0,100.0
personal interaction,19.798938843898352,16.666666666666664,0.0,100.0
provide an observation,40.966210555710695,50.0,100.0,100.0
ask a genuine question,6.1993856464674675,0.0,0.0,0.0
ask a rhetorical question,11.533091315275062,0.0,0.0,0.0
deserving/undeserving,18.095504049148285,8.333333333333332,0.0,0.0
express others opinions,12.063669366098855,8.333333333333332,0.0,0.0
government critique,32.8120636693661,41.66666666666667,0.0,0.0
media portrayal,9.606255235967605,25.0,100.0,0.0
money aid allocation,16.922647305222004,16.666666666666664,0.0,0.0
not in my backyard,7.344317229824071,0.0,0.0,0.0
provide a fact or claim,65.3169505724658,50.0,0.0,0.0
racist,0.16755096341803966,0.0,0.0,0.0
societal critique,47.863725216419994,58.333333333333336,0.0,0.0
solutions/interventions,22.032951689472213,25.0,0.0,0.0
