Category,Importance_Score,SE_Importance,Mean_Engagement,SE_Mean_Engagement,Prevalence,SE_Prevalence,P_Value,P_Value_Corrected,Significant
express their opinion,1.4560443189972125,0.0676660829281979,0.017822537714657742,0.0006875628798663849,81.69680111265647,0.6449359380429441,0.01730485800219328,0.2768777280350925,False
provide a fact or claim,1.0140813034787306,0.05414746952627485,0.015546363692989494,0.0006408018809977666,65.22948539638386,0.7942881584150824,0.3153367888592502,1.0,False
societal critique,0.8379713134405012,0.05210898757778805,0.017504397860654282,0.000783861960607073,47.872044506258696,0.8331570745214958,0.1478085290227018,1.0,False
harmful generalization,0.732098249858211,0.05925848279927853,0.018613106140313074,0.0011210643676770333,39.33240611961057,0.8147121543962769,0.012629506357849651,0.20207210172559442,False
provide an observation,0.7284233064725317,0.05705363472754658,0.017753774825550857,0.0010355738724103544,41.02920723226704,0.8203810094031067,0.10703203336511025,1.0,False
government critique,0.5937579053816971,0.047264255270736286,0.018089488727518657,0.0010083447150409843,32.82336578581363,0.7831613189378042,0.0769647106636766,1.0,False
personal interaction,0.3654848564961121,0.043870304513667545,0.018453905324487683,0.001595752042397649,19.80528511821975,0.6646820887134441,0.09911289696387637,1.0,False
deserving/undeserving,0.32016288672254845,0.035075857548972314,0.017734754665139626,0.0013127664314575547,18.052851182197497,0.6414907191948485,0.29138492841446095,1.0,False
money aid allocation,0.29321348692345633,0.03386679448080806,0.017337211932398445,0.0013615777164605659,16.91237830319889,0.6252030080203204,0.45747406323774786,1.0,False
solutions/interventions,0.28383595639730946,0.030898396831502445,0.012883715445054641,0.0009982806705430708,22.030598052851182,0.6912351233475671,0.00681086918538365,0.1089739069661384,False
media portrayal,0.19453414808907793,0.034926623465551636,0.020096271907478022,0.002584275015332023,9.680111265646731,0.493153845734886,0.04361926595496257,0.6979082552794011,False
express others opinions,0.19386646142092634,0.025959401465161347,0.016095841311968364,0.0014298502651486588,12.044506258692628,0.5428458710690716,0.9151306782478832,1.0,False
ask a rhetorical question,0.18768103076815457,0.025528853237462998,0.01633688391311176,0.0014658833988922132,11.48817802503477,0.5318348243922394,0.9720443979834776,1.0,False
not in my backyard,0.1172717582903792,0.01952262042179264,0.0160301129678294,0.0017169702788410466,7.3157162726008345,0.4342921991426163,0.90980424287682,1.0,False
ask a genuine question,0.08077642990999531,0.015447922062608713,0.013080687636325817,0.0016512096244819877,6.1752433936022255,0.4014544864591632,0.1774357991160329,1.0,False
racist,0.0,0.0,0.0,0.0,0.16689847009735745,0.0680791323708765,0.3086160617177993,1.0,False
