Category,Importance_Score,SE_Importance,Mean_Engagement,SE_Mean_Engagement,Prevalence,SE_Prevalence,P_Value,P_Value_Corrected,Significant
provide a fact or claim,7999099.0,0,0.03290272821305087,0.001150785847080151,78.83616630154839,0,0.19534639515045082,1.0,False
express their opinion,7625999.0,0,0.03854550314282017,0.0012741537593883713,75.15903045823559,0,0.0013329911118526994,0.02132785778964319,True
societal critique,7219083.0,0,0.03756242982317459,0.001375013583726863,71.1486166045302,0,0.06489858182483688,1.0,False
government critique,5323339.0,0,0.039528882774948176,0.0018131835159987792,52.46486369071296,0,0.018069144004433435,0.28910630407093496,False
money aid allocation,5235119.0,0,0.03764651733892233,0.0024531184526474592,51.5953999434681,0,0.2621120571347568,1.0,False
ask a rhetorical question,4482326.0,0,0.039689017977147974,0.0026911675865682267,44.17615008312239,0,0.47751036993982243,1.0,False
provide an observation,3950057.0,0,0.0352922073688511,0.0018453468078378033,38.93030334448859,0,0.6928362973949356,1.0,False
personal interaction,2408967.0,0,0.03551129889468981,0.0027928839819317004,23.741889308651153,0,0.7091510906883887,1.0,False
harmful generalization,1959557.0,0,0.04086790696025262,0.0021562649407856804,19.312670280660768,0,0.005456003152387021,0.08729605043819233,False
deserving/undeserving,1551534.0,0,0.04216064387426966,0.002444223260264058,15.29134624368402,0,0.9106636662677712,1.0,False
solutions/interventions,1058193.0,0,0.026434980913169107,0.0018084799670982773,10.429159499980486,0,0.00035148725645739454,0.005623796103318313,True
express others opinions,775441.0,0,0.031113836107510274,0.0023580912531639166,7.642460186208345,0,0.2387455602790629,1.0,False
ask a genuine question,713200.0,0,0.03122486726090679,0.0030783385948295328,7.029035870948006,0,0.4628686229639176,1.0,False
media portrayal,620517.0,0,0.03842583859232061,0.004537629080778987,6.115586443540442,0,0.2553580237867985,1.0,False
not in my backyard,136619.0,0,0.03698175184683449,0.0029852866003254124,1.3464664212746011,0,0.577756633738713,1.0,False
racist,0.0,0,0.0,0.0,0.0,0,1.0,1.0,False
